method,dim,metric,median,ci_lo,ci_hi,n_runs
UMAP,400,shepard_p20__vs_truth,0.0075857743492563,0.0029583226003872,0.0130067052425459,3
UMAP,400,full_shepard,0.0324826447692736,0.0279405279798065,0.0349616514540709,3
UMAP,400,shepard_p5__vs_ambient,0.1384049414765646,0.1320990490863499,0.1472673915665766,3
UMAP,400,knn_acc_k10,0.384,0.373,0.408,3
UMAP,400,silhouette_2d,-0.0212601190032595,-0.0214465892504106,-0.0173034173984673,3
UMAP,400,recall_k15,0.0806,0.0760666666666666,0.0813333333333333,3
UMAP,500,shepard_p100__vs_truth,0.014770263037587394,-0.006334299151287763,0.019126752700442118,3
UMAP,500,shepard_p20__vs_truth,-0.006446738931781317,-0.007319221711311212,-0.002782620580476292,3
UMAP,500,full_shepard,0.02509617006868529,0.022839522274879412,0.028062437477126605,3
UMAP,500,shepard_p5__vs_ambient,0.15199229027192174,0.14499750906766132,0.15775825614537878,3
UMAP,500,knn_acc_k10,0.404,0.34,0.414,3
UMAP,500,silhouette_2d,-0.01889965058449557,-0.022301517293397893,-0.014997565712059617,3
UMAP,500,tight_over_compression,0.00767740993653347,0.0074931399356334095,0.00802335961928657,3
UMAP,500,recall_k15,0.07566666666666667,0.07533333333333332,0.07906666666666666,3
t-SNE,6,shepard_p100__vs_truth,0.6660769428359384,0.6645944793544823,0.6675396173021683,3
t-SNE,6,shepard_p20__vs_truth,-0.004768384560649,-0.0077067105506208,-0.0042865921191559,3
t-SNE,6,full_shepard,0.6043139989348038,0.5978215184278289,0.6144445690482085,3
t-SNE,6,shepard_p5__vs_ambient,0.5124441875514507,0.5080664235867854,0.5166599372729282,3
t-SNE,6,knn_acc_k10,1.0,1.0,1.0,3
t-SNE,6,silhouette_2d,0.7454616166290778,0.742210777456972,0.7471079733894784,3
t-SNE,6,recall_k15,0.673,0.6723333333333333,0.6755333333333333,3
t-SNE,40,shepard_p100__vs_truth,0.5568742687610487,0.540808271537539,0.5603362798520569,3
t-SNE,40,shepard_p20__vs_truth,-0.0004672916512888,-0.006917888036727,0.0010555448123596,3
t-SNE,40,full_shepard,0.2588870045559356,0.2546113634678545,0.2623523326785026,3
t-SNE,40,shepard_p5__vs_ambient,0.2555520878664984,0.2547293371750664,0.2562761759743913,3
