dataset,snr,method,metric,stochastic,n_runs,median,mean,std,ci_lo,ci_hi
clusters,1.0,PCA,pp_shepard_p50__vs_ambient,False,1,0.6334497366168851,0.6334497366168851,0.0,0.6334497366168851,0.6334497366168851
clusters,1.0,PCA,pp_shepard_p75__vs_ambient,False,1,0.5163117993760853,0.5163117993760853,0.0,0.5163117993760853,0.5163117993760853
clusters,1.0,PCA,pp_shepard_p100__vs_ambient,False,1,0.4642325602448524,0.4642325602448524,0.0,0.4642325602448524,0.4642325602448524
clusters,1.0,PCA,full_shepard,False,1,0.4642325602448525,0.4642325602448525,0.0,0.4642325602448525,0.4642325602448525
clusters,1.0,PCA,full_stress,False,1,0.4552395646262325,0.4552395646262325,0.0,0.4552395646262325,0.4552395646262325
clusters,1.0,PCA,full_stress_fidelity,False,1,0.5447604353737674,0.5447604353737674,0.0,0.5447604353737674,0.5447604353737674
clusters,1.0,PCA,shepard_p5__vs_truth,False,1,0.1221484404598807,0.1221484404598807,0.0,0.1221484404598807,0.1221484404598807
clusters,1.0,PCA,shepard_p10__vs_truth,False,1,0.1776123150965626,0.1776123150965626,0.0,0.1776123150965626,0.1776123150965626
clusters,1.0,PCA,shepard_p20__vs_truth,False,1,0.6905909364111853,0.6905909364111853,0.0,0.6905909364111853,0.6905909364111853
clusters,1.0,PCA,shepard_p30__vs_truth,False,1,0.7555223536331337,0.7555223536331337,0.0,0.7555223536331337,0.7555223536331337
clusters,1.0,PCA,shepard_p50__vs_truth,False,1,0.6205352775221268,0.6205352775221268,0.0,0.6205352775221268,0.6205352775221268
clusters,1.0,PCA,shepard_p75__vs_truth,False,1,0.4955422727625163,0.4955422727625163,0.0,0.4955422727625163,0.4955422727625163
clusters,1.0,PCA,shepard_p100__vs_truth,False,1,0.4475927049562328,0.4475927049562328,0.0,0.4475927049562328,0.4475927049562328
clusters,1.0,PCA,stress_p5__vs_truth,False,1,0.4594729516202815,0.4594729516202815,0.0,0.4594729516202815,0.4594729516202815
clusters,1.0,PCA,stress_fidelity_p5__vs_truth,False,1,0.5405270483797184,0.5405270483797184,0.0,0.5405270483797184,0.5405270483797184
clusters,1.0,PCA,stress_p10__vs_truth,False,1,0.4579856509400197,0.4579856509400197,0.0,0.4579856509400197,0.4579856509400197
clusters,1.0,PCA,stress_fidelity_p10__vs_truth,False,1,0.5420143490599802,0.5420143490599802,0.0,0.5420143490599802,0.5420143490599802
clusters,1.0,PCA,stress_p20__vs_truth,False,1,0.4265020095970246,0.4265020095970246,0.0,0.4265020095970246,0.4265020095970246
clusters,1.0,PCA,stress_fidelity_p20__vs_truth,False,1,0.5734979904029753,0.5734979904029753,0.0,0.5734979904029753,0.5734979904029753
clusters,1.0,PCA,stress_p30__vs_truth,False,1,0.4214289224534087,0.4214289224534087,0.0,0.4214289224534087,0.4214289224534087
clusters,1.0,PCA,stress_fidelity_p30__vs_truth,False,1,0.5785710775465913,0.5785710775465913,0.0,0.5785710775465913,0.5785710775465913
clusters,1.0,PCA,stress_p50__vs_truth,False,1,0.418133124725878,0.418133124725878,0.0,0.418133124725878,0.418133124725878
clusters,1.0,PCA,stress_fidelity_p50__vs_truth,False,1,0.581866875274122,0.581866875274122,0.0,0.581866875274122,0.581866875274122
clusters,1.0,PCA,stress_p75__vs_truth,False,1,0.4144666544412638,0.4144666544412638,0.0,0.4144666544412638,0.4144666544412638
clusters,1.0,PCA,stress_fidelity_p75__vs_truth,False,1,0.5855333455587362,0.5855333455587362,0.0,0.5855333455587362,0.5855333455587362
clusters,1.0,PCA,stress_p100__vs_truth,False,1,0.409626495252881,0.409626495252881,0.0,0.409626495252881,0.409626495252881
clusters,1.0,PCA,stress_fidelity_p100__vs_truth,False,1,0.590373504747119,0.590373504747119,0.0,0.590373504747119,0.590373504747119
clusters,1.0,PCA,pp_shepard_p5__vs_truth,False,1,0.1700604169109723,0.1700604169109723,0.0,0.1700604169109723,0.1700604169109723
clusters,1.0,PCA,pp_shepard_p10__vs_truth,False,1,0.2124484435461556,0.2124484435461556,0.0,0.2124484435461556,0.2124484435461556
clusters,1.0,PCA,pp_shepard_p20__vs_truth,False,1,0.6951406206158396,0.6951406206158396,0.0,0.6951406206158396,0.6951406206158396
clusters,1.0,PCA,pp_shepard_p30__vs_truth,False,1,0.7626343591692837,0.7626343591692837,0.0,0.7626343591692837,0.7626343591692837
clusters,1.0,PCA,pp_shepard_p50__vs_truth,False,1,0.6302828206584308,0.6302828206584308,0.0,0.6302828206584308,0.6302828206584308
clusters,1.0,PCA,pp_shepard_p75__vs_truth,False,1,0.50553187463491,0.50553187463491,0.0,0.50553187463491,0.50553187463491
clusters,1.0,PCA,pp_shepard_p100__vs_truth,False,1,0.4475927049562316,0.4475927049562316,0.0,0.4475927049562316,0.4475927049562316
clusters,1.0,PCA,cluster_ratio_truth,False,1,0.1100746913740618,0.1100746913740618,0.0,0.1100746913740618,0.1100746913740618
clusters,1.0,PCA,cluster_ratio_2d,False,1,0.1113992364405404,0.1113992364405404,0.0,0.1113992364405404,0.1113992364405404
clusters,1.0,PCA,cluster_over_compression,False,1,0.9881099268827968,0.9881099268827968,0.0,0.9881099268827968,0.9881099268827968
clusters,1.0,PCA,recall_k5,False,1,0.0438,0.0438,0.0,0.0438,0.0438
clusters,1.0,PCA,recall_k15,False,1,0.1266,0.1266,0.0,0.1266,0.1266
clusters,1.0,PCA,recall_k30,False,1,0.2358666666666666,0.2358666666666666,0.0,0.2358666666666666,0.2358666666666666
clusters,1.0,PCA,trust_k5,False,1,0.9079028225806453,0.9079028225806453,0.0,0.9079028225806453,0.9079028225806453
clusters,1.0,PCA,trust_k15,False,1,0.9154366427840328,0.9154366427840328,0.0,0.9154366427840328,0.9154366427840328
clusters,1.0,PCA,trust_k30,False,1,0.9251651126244108,0.9251651126244108,0.0,0.9251651126244108,0.9251651126244108
clusters,1.0,PCA,cont_k5,False,1,0.933171370967742,0.933171370967742,0.0,0.933171370967742,0.933171370967742
clusters,1.0,PCA,cont_k15,False,1,0.9384680313886046,0.9384680313886046,0.0,0.9384680313886046,0.9384680313886046
clusters,1.0,PCA,cont_k30,False,1,0.9477596298236424,0.9477596298236424,0.0,0.9477596298236424,0.9477596298236424
clusters,1.0,PCC,shepard_p5__vs_ambient,True,3,0.064508744025849,0.06471929961188744,0.012630207500200198,0.0493568703348183,0.080292284474995
clusters,1.0,PCC,shepard_p10__vs_ambient,True,3,0.0826579918542513,0.09004380584242304,0.011331350755590214,0.0814206023011809,0.1060528233718369
clusters,1.0,PCC,shepard_p20__vs_ambient,True,3,0.6677533234901499,0.6709709866391065,0.006511466797011485,0.6651076175559631,0.6800520188712063
clusters,1.0,PCC,shepard_p30__vs_ambient,True,3,0.7710324396308775,0.7715943996623377,0.0017049505285119879,0.7698447553530654,0.77390600400307
clusters,1.0,PCC,shepard_p50__vs_ambient,True,3,0.6437775959553966,0.6428266353853651,0.0030540319180110288,0.6387025359190659,0.6459997742816327
clusters,1.0,PCC,shepard_p75__vs_ambient,True,3,0.5208194214551445,0.5192227167877738,0.006020335281489371,0.5111818126934023,0.5256669162147743
clusters,1.0,PCC,shepard_p100__vs_ambient,True,3,0.4755585770817293,0.47076588839217365,0.010296749609935676,0.4564612620496297,0.4802778260451619
clusters,1.0,PCC,stress_p5__vs_ambient,True,3,0.8058811273715617,0.8085893154945486,0.004775472072241766,0.8045855192914859,0.8153012998205983
clusters,1.0,PCC,stress_fidelity_p5__vs_ambient,True,3,0.1941188726284383,0.19141068450545132,0.004775472072241742,0.1846987001794017,0.195414480708514
clusters,1.0,PCC,stress_p10__vs_ambient,True,3,0.8013860335468685,0.8041639929183573,0.006262491541102424,0.7982700880964811,0.812835857111722
clusters,1.0,PCC,stress_fidelity_p10__vs_ambient,True,3,0.1986139664531314,0.19583600708164273,0.006262491541102437,0.1871641428882779,0.2017299119035188
clusters,1.0,PCC,stress_p20__vs_ambient,True,3,0.752682001068629,0.7507528702044434,0.003446577748341835,0.7459118130795074,0.7536647964651938
clusters,1.0,PCC,stress_fidelity_p20__vs_ambient,True,3,0.2473179989313709,0.2492471297955566,0.0034465777483418457,0.2463352035348062,0.2540881869204926
clusters,1.0,PCC,stress_p30__vs_ambient,True,3,0.595849101133982,0.5946483599358883,0.002055576722446137,0.5917552270455879,0.5963407516280949
clusters,1.0,PCC,stress_fidelity_p30__vs_ambient,True,3,0.4041508988660179,0.4053516400641117,0.0020555767224461627,0.4036592483719051,0.4082447729544121
clusters,1.0,PCC,stress_p50__vs_ambient,True,3,0.4760819890384282,0.475462921745829,0.0010616225030487762,0.4739688500993391,0.4763379260997196
clusters,1.0,PCC,stress_fidelity_p50__vs_ambient,True,3,0.5239180109615718,0.5245370782541711,0.0010616225030487872,0.5236620739002804,0.5260311499006609
clusters,1.0,PCC,stress_p75__vs_ambient,True,3,0.4156912507422132,0.415383386461668,0.0007187634813276056,0.4143904989580366,0.4160684096847543
