method,outlier_factor,metric,median,ci_lo,ci_hi,n_runs
PyMDE,2.0,shepard_p5__vs_ambient,0.26240397202791815,0.20027145970072444,0.26267485793345696,3
PyMDE,2.0,outlier_shepard__vs_ambient,0.1693128859102596,0.07286839737258274,0.24153889675300264,3
PyMDE,2.0,pair_angle_2d_max,150.99375133543884,150.09257620879202,162.10244816924126,3
PyMDE,3.0,full_shepard,0.6432712326026727,0.5625530614952391,0.6676626379265634,3
PyMDE,3.0,shepard_p5__vs_ambient,0.26058478353332093,0.2157101861071766,0.2638991103149775,3
PyMDE,3.0,outlier_shepard__vs_ambient,0.1292926851775011,0.06367226122904142,0.18360273109825115,3
PyMDE,3.0,pair_angle_2d_max,154.08242991917984,63.58459699297578,167.42525850156972,3
PyMDE,5.0,full_shepard,0.6771325093477154,0.6747543126173897,0.6825295122503846,3
PyMDE,5.0,shepard_p5__vs_ambient,0.25080629571001806,0.2497638681160342,0.2549666538298896,3
PyMDE,5.0,outlier_shepard__vs_ambient,0.1577589938142184,0.10884031961148732,0.193768353643243,3
PyMDE,5.0,pair_angle_2d_max,178.90498968839873,178.4305584650099,179.02907913827931,3
PyMDE,8.0,full_shepard,0.7056640537811826,0.696559345575988,0.7060227164955211,3
PyMDE,8.0,shepard_p5__vs_ambient,0.2582516786833833,0.24935387325656708,0.2642061008388231,3
PyMDE,8.0,outlier_shepard__vs_ambient,0.11023868619954708,0.08781511045873695,0.12483153160117634,3
PyMDE,8.0,pair_angle_2d_max,174.8800965833205,59.865037675611234,177.10917567231664,3
UMAP,1.5,full_shepard,0.47353052810075763,0.4629396988958726,0.4803407853388351,3
UMAP,1.5,shepard_p5__vs_ambient,0.3080735264222899,0.30589235507553614,0.308421719266589,3
UMAP,1.5,outlier_shepard__vs_ambient,0.01069002756447446,0.009445004417572461,0.027221117243790942,3
UMAP,1.5,pair_angle_2d_max,0.22948452703160552,0.1699117160817654,0.32985069401681394,3
UMAP,2.0,full_shepard,0.4729793510101853,0.46751415344523606,0.48576018045624997,3
UMAP,2.0,shepard_p5__vs_ambient,0.30669124200580594,0.304843840067637,0.30941402281878533,3
UMAP,2.0,outlier_shepard__vs_ambient,0.009992204086986202,0.005830460867744075,0.019534799323889764,3
UMAP,2.0,pair_angle_2d_max,0.4117521486261049,0.399016819022952,0.8160279132041818,3
UMAP,3.0,full_shepard,0.4688365185532313,0.4670012464919993,0.47717710529403795,3
UMAP,3.0,shepard_p5__vs_ambient,0.30639880304849904,0.3031562647963239,0.3136360408056946,3
UMAP,3.0,outlier_shepard__vs_ambient,0.015239658760983144,0.011098544599598676,0.017004513972937417,3
UMAP,3.0,pair_angle_2d_max,0.2925971115943326,0.16052066742232945,0.7597059019317952,3
UMAP,5.0,full_shepard,0.4649590290939454,0.4601826292293242,0.47054690187690457,3
